Step, Flip Iteration, Flip Time, Swap Iteration, Swap Time, Simulated Time
0, 0, 0.000000, 1, 3.021150, 0.389853
1000000, 21170, 37260.559481, 978831, 1740703.917650, 1775261.178064
2000000, 50485, 87850.844430, 1949516, 3416062.244252, 3502248.289647
3000000, 84310, 144150.070538, 2915691, 5050918.625891, 5192166.028640
4000000, 131170, 223229.859325, 3868831, 6675429.941345, 6891832.426143
5000000, 201731, 354288.401245, 4798270, 8638790.645000, 8990544.328590
6000000, 219677, 390317.097981, 5780324, 10908314.658229, 11297927.137338
7000000, 219748, 390436.728162, 6780253, 13254884.419445, 13642782.657199
8000000, 219845, 390613.857499, 7780156, 15599826.904011, 15985042.362808
9000000, 219924, 390778.068006, 8780077, 17941678.665270, 18322789.598614
10000000, 220022, 390969.631526, 9779979, 20286272.824238, 20667081.901815
11000000, 220096, 391142.010177, 10779905, 22627538.869209, 23007794.855874
12000000, 220163, 391268.065011, 11779838, 24969669.982072, 25350050.926235
13000000, 220256, 391420.215506, 12779745, 27309616.396882, 27693622.239608
14000000, 220332, 391579.137496, 13779669, 29652380.363733, 30042363.227949
15000000, 220404, 391706.796433, 14779597, 31992168.395418, 32390855.490217
16000000, 220490, 391856.757941, 15779511, 34335204.364443, 34735725.883841
17000000, 220580, 391983.922795, 16779421, 36678655.280527, 37075630.252042
18000000, 220683, 392203.987294, 17779318, 39019443.828299, 39411402.231502
19000000, 220793, 392386.588756, 18779208, 41361625.642859, 41754295.262209
20000000, 220892, 392553.608199, 19779109, 43705999.499531, 44094679.724080
21000000, 220955, 392655.460573, 20779046, 46052341.548675, 46433790.202086
22000000, 221052, 392838.891269, 21778949, 48396700.948100, 48773592.571132
23000000, 221203, 393142.550549, 22778798, 50740621.597585, 51112793.263048
24000000, 221276, 393259.690706, 23778725, 53081513.832650, 53458825.035706
25000000, 221365, 393388.442560, 24778636, 55419499.626544, 55801176.263453
